region,re_target,year,lcoe,lcoe_p10,lcoe_p90,c_solar,c_wind,battery_h,shed_frac,gen_capex,gen_om,batt_capex,batt_om,gas_capex,gas_opex,gas_carbon,lcoe_p90design,gas_pure,smr,grid_ppa,grid_cfe
Europe (AI Training),0.90,2025,226.6629,202.7873,248.3042,10.9992,12.5001,7.4994,0.0000,122.7047,32.8650,20.0980,2.4713,6.9730,41.5509,0.0000,,250.2889,140.0000,117.0000,172.0000
Europe (AI Training),0.90,2026,214.4624,193.7433,233.4094,10.9992,12.5001,7.4994,0.0000,114.5070,31.0270,18.1702,2.2342,6.9730,41.5509,0.0000,,250.2889,135.4167,108.9856,163.9856
Europe (AI Training),0.90,2027,204.0942,186.4392,233.1629,11.0070,12.4906,7.5000,0.0000,107.4600,29.4104,16.6509,2.0474,6.9730,41.5524,0.0000,,250.2889,130.8333,102.3840,157.3840
Europe (AI Training),0.90,2028,195.1790,175.4270,215.0702,11.0120,12.4994,7.5000,0.0000,101.3774,28.0020,15.3929,1.8927,6.9730,41.5410,0.0000,,250.2889,126.2500,96.8173,151.8173
Europe (AI Training),0.90,2029,195.6936,178.8305,214.2721,13.7443,12.4972,7.4999,0.0000,104.2210,28.1796,14.3218,1.7606,6.9730,40.2376,0.0000,,250.2889,121.6667,92.0387,147.0387
Europe (AI Training),0.90,2030,187.6964,171.7959,201.9648,13.7443,12.4972,7.4999,0.0000,98.5788,26.8790,13.3827,1.6452,6.9730,40.2376,0.0000,,250.2889,117.0833,87.8794,142.8794
Europe (AI Training),0.90,2031,180.4706,164.1271,194.5298,13.7443,12.4972,7.4999,0.0000,93.4795,25.6898,12.5481,1.5425,6.9730,40.2376,0.0000,,250.2889,112.5000,84.2188,139.2188
Europe (AI Training),0.90,2032,173.8862,155.2236,189.1719,13.7443,12.4972,7.4999,0.0000,88.8341,24.5947,11.7966,1.4502,6.9730,40.2376,0.0000,,250.2889,107.9167,80.9684,135.9684
Europe (AI Training),0.90,2033,167.8781,152.5289,181.1512,13.7480,12.5024,7.5000,0.0000,84.6054,23.5893,11.1132,1.3662,6.9730,40.2310,0.0000,,250.2889,103.3333,78.0611,133.0611
Europe (AI Training),0.90,2034,162.3010,148.9769,175.9033,13.7480,12.5024,7.5000,0.0000,80.6766,22.6447,10.4865,1.2891,6.9730,40.2310,0.0000,,250.2889,98.7500,75.4451,130.4451
Europe (AI Training),0.90,2035,157.1434,144.4558,173.4952,13.7503,12.5044,7.5000,0.0000,77.0499,21.7652,9.9083,1.2180,6.9730,40.2289,0.0000,,250.2889,94.1667,73.0793,128.0793
Europe (AI Training),0.90,2036,156.9606,142.6161,172.2122,16.4554,12.5004,7.5000,0.0000,78.1869,21.7322,9.3738,1.1521,6.9730,39.5426,0.0000,,250.2889,89.5833,70.9309,125.9309
Europe (AI Training),0.90,2037,152.2333,140.5431,163.8512,16.4778,12.5306,7.5000,0.0000,74.8403,20.9381,8.8742,1.0908,6.9730,39.5170,0.0000,,250.2889,85.0000,68.9732,123.9732
Europe (AI Training),0.90,2038,151.5104,136.5220,163.7327,16.4992,13.3968,7.5000,0.0000,74.9091,21.2554,8.3997,1.0334,6.9730,38.9397,0.0000,,250.2889,85.0000,67.1837,122.1837
Europe (AI Training),0.90,2039,153.7862,137.5032,168.4552,16.4937,14.9609,7.5001,0.0000,77.5605,22.4149,7.9494,0.9796,6.9730,37.9087,0.0000,,250.2889,85.0000,65.5441,120.5441
Europe (AI Training),0.90,2040,149.4126,133.3600,164.3229,16.4937,14.9609,7.5001,0.0000,74.4365,21.6256,7.5396,0.9291,6.9730,37.9087,0.0000,,250.2889,85.0000,64.0384,119.0384
