region,re_target,year,lcoe,lcoe_p10,lcoe_p90,c_solar,c_wind,battery_h,shed_frac,gen_capex,gen_om,batt_capex,batt_om,gas_capex,gas_opex,gas_carbon,lcoe_p90design,lcoe_reslo,lcoe_reshi,gas_pure,smr,grid_ppa,grid_cfe
Europe (Firm),0.70,2025,135.1963,123.1291,145.7549,4.3569,1.9619,5.9968,0.0000,58.8720,14.1132,8.6544,1.0612,23.2434,22.0347,7.2174,,,,121.5097,175.0000,117.0000,172.0000
Europe (Firm),0.70,2026,130.1330,121.1695,139.9148,4.3569,1.9619,5.9968,0.0000,55.1175,13.3283,7.9076,0.9697,23.2434,22.0347,7.5319,,,,122.5619,167.5000,110.9038,165.9038
Europe (Firm),0.70,2027,126.2281,118.5050,137.8943,4.3569,1.9619,5.9968,0.0000,52.0677,12.6822,7.3458,0.9008,23.2434,22.0347,7.9536,,,,123.9729,160.0000,106.0635,161.0635
Europe (Firm),0.70,2028,123.1952,116.0158,131.2647,4.3569,1.9619,5.9968,0.0000,49.5244,12.1372,6.9017,0.8463,23.2434,22.0347,8.5074,,,,125.8261,152.5000,102.1068,157.1068
Europe (Firm),0.70,2029,120.8640,113.1628,130.4898,4.3569,1.9619,5.9968,0.0000,47.3612,11.6693,6.5386,0.8018,23.2434,22.0347,9.2150,,,,128.1940,145.0000,98.8002,153.8002
Europe (Firm),0.70,2030,119.1192,111.3414,125.9363,4.3569,1.9619,5.9968,0.0000,45.4925,11.2615,6.2343,0.7645,23.2434,22.0347,10.0882,,,,131.1156,137.5000,95.9887,150.9887
Europe (Firm),0.70,2031,117.8658,110.7748,124.3845,4.3569,1.9619,5.9968,0.0000,43.8579,10.9022,5.9746,0.7326,23.2434,22.0347,11.1203,,,,134.5691,130.0000,93.5644,148.5644
Europe (Firm),0.70,2032,117.0085,108.1360,124.5759,4.3569,1.9619,5.9968,0.0000,42.4130,10.5825,5.7497,0.7050,23.2434,22.0347,12.2802,,,,138.4500,122.5000,91.4494,146.4494
Europe (Firm),0.70,2033,116.4433,109.2841,123.4776,4.3569,1.9619,5.9968,0.0000,41.1245,10.2956,5.5525,0.6809,23.2434,22.0347,13.5118,,,,142.5711,115.0000,89.5858,144.5858
Europe (Firm),0.70,2034,116.0618,110.8917,122.2159,4.3569,1.9619,5.9968,0.0000,39.9666,10.0364,5.3780,0.6595,23.2434,22.0347,14.7434,,,,146.6921,107.5000,87.9298,142.9298
Europe (Firm),0.70,2035,115.7635,111.2792,122.6285,4.3569,1.9619,5.9968,0.0000,38.9191,9.8007,5.2221,0.6403,23.2434,22.0347,15.9032,,,,150.5730,100.0000,86.4472,141.4472
Europe (Firm),0.70,2036,115.4695,109.5871,121.9705,4.3569,1.9619,5.9968,0.0000,37.9659,9.5852,5.0818,0.6231,23.2434,22.0347,16.9353,,,,154.0265,92.5000,85.1111,140.1111
Europe (Firm),0.70,2037,115.1301,109.0182,121.5285,4.3569,1.9619,5.9968,0.0000,37.0938,9.3873,4.9548,0.6076,23.2434,22.0347,17.8085,,,,156.9482,85.0000,83.8998,138.8998
Europe (Firm),0.70,2038,114.7237,107.4529,120.6458,4.3569,1.9619,5.9968,0.0000,36.2923,9.2046,4.8392,0.5934,23.2434,22.0347,18.5161,,,,159.3160,85.0000,82.7958,137.7958
Europe (Firm),0.70,2039,114.2495,107.7127,120.2010,4.3569,1.9619,5.9968,0.0000,35.5524,9.0353,4.7333,0.5804,23.2434,22.0347,19.0699,,,,161.1692,85.0000,81.7850,136.7850
Europe (Firm),0.70,2040,113.7188,106.9151,119.5065,4.3569,1.9619,5.9968,0.0000,34.8667,8.8779,4.6360,0.5685,23.2434,22.0347,19.4917,,,,162.5802,85.0000,80.8552,135.8552
Europe (Firm),0.80,2025,174.2400,154.7093,193.2481,6.4750,3.9510,5.9997,0.0000,100.0216,25.1506,8.6958,1.0616,11.6217,20.7026,6.9861,,,,121.5097,175.0000,117.0000,172.0000
Europe (Firm),0.80,2026,166.4073,149.4249,181.3737,6.4750,3.9510,5.9997,0.0000,94.0302,23.8469,7.9455,0.9700,11.6217,20.7026,7.2904,,,,122.5619,167.5000,110.9038,165.9038
