region,re_target,year,lcoe,lcoe_p10,lcoe_p90,c_solar,c_wind,battery_h,shed_frac,gen_capex,gen_om,batt_capex,batt_om,gas_capex,gas_opex,gas_carbon,lcoe_p90design,lcoe_reslo,lcoe_reshi,gas_pure,smr,grid_ppa,grid_cfe
US (Firm),0.70,2025,88.2768,81.4072,95.0109,1.8485,1.1453,5.9210,0.0000,36.2100,9.1387,8.7042,1.0976,23.2434,9.8828,0.0000,,82.1043,91.8245,58.3597,150.0000,85.0000,125.0000
US (Firm),0.70,2026,83.5846,78.4696,89.3876,2.1636,0.8928,5.9909,0.0000,33.2321,7.9369,8.0797,1.0107,23.2434,10.0817,0.0000,,78.2030,87.5615,58.3597,143.5000,80.3432,120.3432
US (Firm),0.70,2027,80.6811,75.9369,87.8352,2.1636,0.8928,5.9909,0.0000,31.3658,7.5455,7.5057,0.9389,23.2434,10.0817,0.0000,,75.0682,84.1750,58.3597,137.0000,76.6458,116.6458
US (Firm),0.70,2028,78.2864,73.7528,83.2690,2.1636,0.8928,5.9909,0.0000,29.8113,7.2158,7.0519,0.8822,23.2434,10.0817,0.0000,,72.4697,81.3965,58.3597,130.5000,73.6232,113.6232
US (Firm),0.70,2029,76.2654,71.4063,82.3819,2.1636,0.8928,5.9909,0.0000,28.4905,6.9331,6.6809,0.8357,23.2434,10.0817,0.0000,,70.2673,79.0630,58.3597,124.0000,71.0974,111.0974
US (Firm),0.70,2030,74.5296,70.1165,78.5898,2.1636,0.8928,5.9909,0.0000,27.3505,6.6871,6.3700,0.7969,23.2434,10.0817,0.0000,,68.3687,77.0679,58.3597,117.5000,68.9497,108.9497
US (Firm),0.70,2031,73.0181,68.4331,77.3482,2.1636,0.8928,5.9909,0.0000,26.3541,6.4705,6.1047,0.7637,23.2434,10.0817,0.0000,,66.7100,75.3377,58.3597,111.0000,67.0978,107.0978
US (Firm),0.70,2032,71.6869,66.3955,76.0536,2.1636,0.8928,5.9909,0.0000,25.4740,6.2779,5.8748,0.7349,23.2434,10.0817,0.0000,,65.2448,73.8198,58.3597,104.5000,65.4821,105.4821
US (Firm),0.70,2033,70.5032,66.1526,74.6490,2.1636,0.8928,5.9909,0.0000,24.6897,6.1053,5.6734,0.7097,23.2434,10.0817,0.0000,,63.9386,72.4750,58.3597,98.0000,64.0586,104.0586
US (Firm),0.70,2034,68.6520,63.6708,74.0849,3.5574,1.0076,5.9615,0.0000,33.7941,7.9011,5.6143,0.6851,11.6217,9.0356,0.0000,,62.7649,71.2735,58.3597,91.5000,62.7936,102.7936
US (Firm),0.70,2035,67.3176,63.4925,73.2195,3.5574,1.0076,5.9615,0.0000,32.8431,7.7003,5.4516,0.6653,11.6217,9.0356,0.0000,,61.7032,70.1924,58.3597,85.0000,61.6611,101.6611
US (Firm),0.70,2036,66.1073,61.2860,70.9270,3.5574,1.0076,5.9615,0.0000,31.9801,7.5173,5.3052,0.6474,11.6217,9.0356,0.0000,,60.7369,69.2132,58.3597,85.0000,60.6404,100.6404
US (Firm),0.70,2037,65.0034,59.7386,70.3119,3.5574,1.0076,5.9615,0.0000,31.1926,7.3497,5.1726,0.6312,11.6217,9.0356,0.0000,,59.8527,68.3214,58.3597,85.0000,59.7151,99.7151
US (Firm),0.70,2038,63.9916,57.9293,68.3773,3.5574,1.0076,5.9615,0.0000,30.4704,7.1955,5.0519,0.6165,11.6217,9.0356,0.0000,,59.0397,67.5049,58.3597,85.0000,58.8718,98.8718
US (Firm),0.70,2039,63.0600,57.3688,68.2357,3.5574,1.0076,5.9615,0.0000,29.8053,7.0530,4.9414,0.6030,11.6217,9.0356,0.0000,,58.2891,66.7541,58.3597,85.0000,58.0996,98.0996
US (Firm),0.70,2040,62.1988,56.6601,67.6063,3.5574,1.0076,5.9615,0.0000,29.1903,6.9208,4.8398,0.5906,11.6217,9.0356,0.0000,,57.5932,66.0606,58.3597,85.0000,57.3894,97.3894
US (Firm),0.80,2025,92.9519,82.7605,102.4651,3.0948,1.2552,6.0000,0.0000,50.4910,11.9227,9.0385,1.1073,11.6217,8.7707,0.0000,,86.4374,101.4077,58.3597,150.0000,85.0000,125.0000
US (Firm),0.80,2026,88.1187,80.1131,96.1269,3.0948,1.2552,6.0000,0.0000,47.2111,11.2449,8.2585,1.0118,11.6217,8.7707,0.0000,,78.2109,95.9416,58.3597,143.5000,80.3432,120.3432
US (Firm),0.80,2027,84.2436,76.7577,91.5195,3.0948,1.2552,6.0000,0.0000,44.5513,10.6882,7.6718,0.9399,11.6217,8.7707,0.0000,,75.0807,91.5622,58.3597,137.0000,76.6458,116.6458
US (Firm),0.80,2028,81.0394,74.0863,88.1912,3.0948,1.2552,6.0000,0.0000,42.3363,10.2196,7.2080,0.8831,11.6217,8.7707,0.0000,,72.4860,87.9443,58.3597,130.5000,73.6232,113.6232
US (Firm),0.80,2029,78.3303,72.5599,85.1863,3.0948,1.2552,6.0000,0.0000,40.4547,9.8178,6.8288,0.8366,11.6217,8.7707,0.0000,,70.2867,84.8884,58.3597,124.0000,71.0974,111.0974
US (Firm),0.80,2030,76.0004,68.4575,84.2015,3.0948,1.2552,6.0000,0.0000,38.8311,9.4682,6.5110,0.7977,11.6217,8.7707,0.0000,,68.3907,82.2628,58.3597,117.5000,68.9497,108.9497
US (Firm),0.80,2031,73.9695,67.3573,81.3745,3.0948,1.2552,6.0000,0.0000,37.4123,9.1605,6.2398,0.7644,11.6217,8.7707,0.0000,,66.7341,79.9762,58.3597,111.0000,67.0978,107.0978
US (Firm),0.80,2032,72.1792,67.2221,79.5399,3.0948,1.2552,6.0000,0.0000,36.1592,8.8870,6.0049,0.7357,11.6217,8.7707,0.0000,,65.2707,77.9623,58.3597,104.5000,65.4821,105.4821
US (Firm),0.80,2033,70.5863,65.4078,76.0725,3.0948,1.2552,6.0000,0.0000,35.0427,8.6418,5.7990,0.7104,11.6217,8.7707,0.0000,,63.9662,76.1719,58.3597,98.0000,64.0586,104.0586
US (Firm),0.80,2034,69.1577,63.5354,75.2903,3.0948,1.2552,6.0000,0.0000,34.0401,8.4205,5.6166,0.6881,11.6217,8.7707,0.0000,,62.7939,74.5675,58.3597,91.5000,62.7936,102.7936
US (Firm),0.80,2035,67.8675,62.5992,72.9634,3.0948,1.2552,6.0000,0.0000,33.1337,8.2194,5.4538,0.6681,11.6217,8.7707,0.0000,,61.7334,73.1194,58.3597,85.0000,61.6611,101.6611
US (Firm),0.80,2036,66.4494,60.9843,70.6906,3.7962,0.9108,6.0495,0.0000,32.1773,7.3721,5.3832,0.6538,11.6217,9.2413,0.0000,,60.7681,71.8045,58.3597,85.0000,60.6404,100.6404
US (Firm),0.80,2037,65.3190,60.0513,71.2907,3.7962,0.9108,6.0495,0.0000,31.3668,7.2032,5.2486,0.6375,11.6217,9.2413,0.0000,,59.8849,70.6040,58.3597,85.0000,59.7151,99.7151
US (Firm),0.80,2038,64.2837,60.1927,69.9524,3.7962,0.9108,6.0495,0.0000,30.6240,7.0479,5.1261,0.6226,11.6217,9.2413,0.0000,,59.0728,69.5024,58.3597,85.0000,58.8718,98.8718
US (Firm),0.80,2039,63.3309,58.2900,69.3928,3.7962,0.9108,6.0495,0.0000,29.9404,6.9045,5.0140,0.6090,11.6217,9.2413,0.0000,,58.3229,68.4871,58.3597,85.0000,58.0996,98.0996
US (Firm),0.80,2040,62.4507,57.5404,68.4420,3.7962,0.9108,6.0495,0.0000,29.3086,6.7717,4.9109,0.5964,11.6217,9.2413,0.0000,,57.6277,67.5476,58.3597,85.0000,57.3894,97.3894
US (Firm),0.85,2025,106.7384,95.4480,115.5928,3.4438,1.8028,5.9960,0.0000,62.3969,15.3380,9.0425,1.1068,11.6217,7.2325,0.0000,,94.3877,128.2466,58.3597,150.0000,85.0000,125.0000
US (Firm),0.85,2026,101.1866,92.3058,113.1784,3.4438,1.8028,5.9960,0.0000,58.5431,14.5157,8.2622,1.0113,11.6217,7.2325,0.0000,,87.0112,121.3767,58.3597,143.5000,80.3432,120.3432
US (Firm),0.85,2027,96.7085,89.2802,107.9474,3.4438,1.8028,5.9960,0.0000,55.4033,13.8362,7.6753,0.9395,11.6217,7.2325,0.0000,,83.0871,115.8244,58.3597,137.0000,76.6458,116.6458
US (Firm),0.85,2028,92.9878,82.6333,100.8369,3.4438,1.8028,5.9960,0.0000,52.7783,13.2614,7.2112,0.8827,11.6217,7.2325,0.0000,,79.8434,111.2051,58.3597,130.5000,73.6232,113.6232
US (Firm),0.85,2029,89.8292,81.4323,95.6478,3.4438,1.8028,5.9960,0.0000,50.5407,12.7663,6.8318,0.8362,11.6217,7.2325,0.0000,,77.1016,107.2802,58.3597,124.0000,71.0974,111.0974
US (Firm),0.85,2030,87.1034,77.1639,96.0081,3.4438,1.8028,5.9960,0.0000,48.6040,12.3340,6.5139,0.7973,11.6217,7.2325,0.0000,,74.7442,103.8909,58.3597,117.5000,68.9497,108.9497
US (Firm),0.85,2031,84.7200,78.5507,93.3710,3.4438,1.8028,5.9960,0.0000,46.9069,11.9522,6.2426,0.7641,11.6217,7.2325,0.0000,,72.6898,100.9259,58.3597,111.0000,67.0978,107.0978
US (Firm),0.85,2032,82.6134,72.9472,88.6224,3.4438,1.8028,5.9960,0.0000,45.4045,11.6118,6.0076,0.7353,11.6217,7.2325,0.0000,,70.8792,98.3043,58.3597,104.5000,65.4821,105.4821
US (Firm),0.85,2033,80.7346,73.9572,89.3583,3.4438,1.8028,5.9960,0.0000,44.0628,11.3059,5.8016,0.7101,11.6217,7.2325,0.0000,,69.2686,95.9654,58.3597,98.0000,64.0586,104.0586
US (Firm),0.85,2034,79.0459,72.1165,85.7216,3.4438,1.8028,5.9960,0.0000,42.8556,11.0291,5.6192,0.6878,11.6217,7.2325,0.0000,,67.8244,93.8626,58.3597,91.5000,62.7936,102.7936
US (Firm),0.85,2035,77.5176,70.7079,86.0705,3.4438,1.8028,5.9960,0.0000,41.7622,10.7771,5.4563,0.6678,11.6217,7.2325,0.0000,,66.5203,91.9592,58.3597,85.0000,61.6611,101.6611
